Ticker,Current Price,Opening Price,Day Low,Day High,Volume,Market Cap
JUB,338.00,337.25,333.75,338.00,"1,665",23.9B
EQTY,74.75,73.00,72.50,74.75,1.25M,271B
KUKZ,439.00,438.75,408.00,440.00,349,8.06B
BAT,499.00,500.00,498.00,500.00,"3,214",50B
BRIT,11.45,11.30,10.85,11.45,"113,904",26.4B
KCB,74.00,73.25,72.00,74.75,2.66M,227B
BAMB,47.20,,,,0,17.1B
SCOM,34.00,33.75,33.30,34.00,1.89M,1.32
KQ,5.46,5.46,5.20,5.52,2.43M,29B
COOP,28.80,28.65,28.50,29.00,"936,665",168B
ABSA,29.30,29.35,29.00,29.50,"623,465",158B
SBIC,239.75,220.25,205.00,240.75,"235,358",88.9B
SASN,29.30,29.30,26.75,29.40,"168,990",6.1B
TOTL,40.50,40.35,40.20,40.75,"40,620",7.06B
IMH,48.50,48.60,47.90,49.00,"274,087",75.1B
NCBA,90.50,90.25,90.00,92.00,"31,013",149B
CIC,5.04,4.95,4.71,5.04,1.88M,12.5B
KPLC,18.30,18.20,18.00,18.40,2.31M,34.5B
SCBK,337.25,337.00,331.00,340.00,"63,522",126B
EABL,252.00,248.00,240.00,259.00,"316,749",194B
DTK,160.50,152.00,149.00,163.25,"45,515",41.5B
